;sentence_id;article_id;sequence_nr;body;category;label;keywords;time_start;time_end;context_window;tags;reason
0;5327;123;1;Psychiatric drugs do more harm than good and the use of most antidepressants and dementia drugs could be virtually stopped without causing harm, an expert on clinical trials argues in a leading medical journal.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:06:56.694;2019-12-19 16:12:11.418;0;ma charakter anegdoty lub plotki;
1;5328;123;2;The views expressed in a British Medical Journal debate by Peter Gøtzsche, professor and director of the Nordic Cochrane Centre in Denmark, are strongly opposed by many experts in mental health.;psychiatry;NEU;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:06:51.706;2019-12-19 16:11:56.418;0;;
2;5329;123;3;However, others say the debate around the use of psychiatric drugs is important and acknowledge that there has been overuse of antipsychotics to quieten aggressive patients with dementia.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:06:49.877;2019-12-19 16:13:00.585;1;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
3;5330;123;4;Gøtzsche says more than half a million people over the age of 65 die as a result of the use of psychiatric drugs every year in the western world.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:17:20.925;2019-12-19 16:18:25.288;1;;
4;5331;123;5;“Their benefits would need to be colossal to justify this, but they are minimal,” he writes.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:41:02.775;2019-12-19 16:41:50.698;1;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
5;5332;123;6;He claims that trials carried out with funding from drug companies into the efficacy of psychiatric drugs have almost all been biased, because the patients involved have usually been on other medication first.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:34:29.992;2019-12-19 18:37:39.135;0;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
6;5333;123;7;They stop their drugs and often experience a withdrawal phase prior to starting the trial drug, which then appears to have a big benefit.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 10:32:42.197;2020-01-05 10:34:14.706;1;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
7;5334;123;8;He also claims that deaths from suicide in clinical trials are under-reported.;psychiatry;NEU;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:48:15.229;2019-12-19 18:48:20.915;0;;
8;5335;123;9;In trials of the modern antidepressants fluoxetine and venlafaxine, says Gøtzsche, it takes only a few extra days for depression in the placebo group – given dummy pills – to lift as much as in the group given the drugs.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 17:51:10.099;2019-12-19 17:51:28.390;0;;
9;5336;123;10;He argues that there is spontaneous remission of the disease over time.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:57:16.459;2019-12-19 18:57:30.610;0;;
10;5337;123;11;Results from trials of schizophrenia drugs are also disappointing, he argues, and those for ADHD (attention deficit hyperactive disorder) are uncertain.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:00:56.129;2019-12-19 18:01:49.731;1;przedawnione informacje;
11;5338;123;12;“The short-term relief seems to be replaced by long-term harms.;psychiatry;NEU;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 16:56:18.619;2019-12-19 16:56:24.830;0;;
12;5339;123;13;Animal studies strongly suggest that these drugs can produce brain damage, which is probably the case for all psychotropic drugs,” he writes.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 10:42:08.179;2020-01-05 10:43:13.307;1;ma charakter anegdoty lub plotki;
13;5340;123;14;“Given their lack of benefit, I estimate we could stop almost all psychotropic drugs without causing harm – by dropping all antidepressants, ADHD drugs and dementia drugs … and using only a fraction of the antipsychotics and benzodiazepines we currently use.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 19:08:12.088;2019-12-19 19:08:38.264;0;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
14;5341;123;15;“This would lead to healthier and more long-lived populations.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:14:27.037;2019-12-19 18:15:05.996;1;;
15;5342;123;16;Because psychotropic drugs are immensely harmful when used long-term, they should almost exclusively be used in acute situations and always with a firm plan for tapering off, which can be difficult for many patients.” In the BMJ discussion, which is a curtain-raiser for the Maudsley debate at King’s College London on Wednesday, Gøtzsche’s views are countered by Allan Young, a professor of mood disorders at King’s College London, and John Crace, a psychiatric patient and Guardian writer.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 10:47:44.403;2020-01-05 10:48:28.239;0;jest niezrozumiałe lub niegramatyczne;
16;5343;123;17;They argue that the research evidence shows the drugs do work and that they are just as beneficial and effective as medication for other complex conditions.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:22:51.062;2019-12-19 18:23:02.864;0;;
17;5344;123;18;In fact, they are badly needed, they say, because psychiatric conditions are the fifth leading cause of disability worldwide.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 19:21:59.476;2019-12-19 19:22:12.769;0;;
18;5345;123;19;Many psychiatric patients suffer from other physical conditions, they add, which are a bigger cause of early death than suicide.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 10:52:30.568;2020-01-05 10:54:56.300;1;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
19;5346;123;20;They point out that the effects and safety of drugs are monitored and studied in the general population after the research trials have ended.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 17:53:42.696;2019-12-19 17:55:06.805;1;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
20;5347;123;21;“Nevertheless, many concerns have been expressed about psychiatric drugs and for some critics the onus often seems to be on the drug needing to prove innocence from causing harm rather than a balanced approach to evaluating the available evidence,” they write.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:35:00.028;2019-12-19 18:35:22.917;0;;
21;5348;123;22;“Whether concerns are genuine or an expression of prejudice is not clear, but over time many concerns have been found to be overinflated.”  They cite the example of lithium, now thought to have less severe side-effects than once feared, and clozapine, an atypical antipsychotic.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-04 16:14:08.489;2020-01-04 16:15:29.189;0;;
22;5349;123;23;Clozapine was thought to have increased patients’ risk of death, but recent data has been reassuring, they say.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 18:56:47.470;2019-12-19 18:57:11.900;0;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
23;5350;123;24;Dementia experts said use of antipsychotics for elderly patients who become difficult to handle had been a problem.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 19:30:38.822;2019-12-19 19:31:10.852;1;;
24;5351;123;25;“The dangers of long-term use of antipsychotic drugs for symptoms of aggression and agitation in dementia were highlighted in an Alzheimer’s Research UK-funded study in 2009 and since then moves have been made to reduce their use,” said Dr Simon Ridley, of Alzheimer’s Research UK.;psychiatry;NONCRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 11:12:15.336;2020-01-05 11:13:52.805;0;jest niezrozumiałe lub niegramatyczne;
25;5352;123;26;But he and Dr Doug Brown, director of research and development at the Alzheimer’s Society, both argued that drugs such as Aricept, specifically developed for people with dementia, had some effect and were needed.;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2019-12-19 19:36:52.325;2019-12-19 19:37:04.762;0;;
26;5354;123;28;Long-term use of schizophrenia drugs appeared to reduce early deaths, but he added: “In practice, there need to be regular reviews of treatments between a patient and their psychiatrist in order to continually weigh up the pros and cons of any treatment.”;psychiatry;CRED;drug, gøtzsche, psychiatric, dementia, antipsychotic;2020-01-05 11:15:55.897;2020-01-05 11:16:16.520;0;;
27;5355;124;1; Written by C. Fookes, BPharm on Sep 10, 2018  If you have high cholesterol, then chances are you have heard of statins.;cholesterol_and_statins;NEU;statin, side, muscle, effect, commonly;2020-01-15 22:05:29.362;2020-01-15 22:05:36.474;0;;
28;5356;124;2;Statins available in the United States include atorvastatin (Lipitor), fluvastatin (Lescol), lovastatin (Altoprev), pitavastatin (Livalo), pravastatin (Pravachol), rosuvastatin (Crestor) and simvastatin (Zocor).;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2019-12-15 08:28:19.046;2019-12-15 08:31:56.662;0;;
29;5357;124;3;Statins are one of the most common medicines prescribed in the U.S., with more than 35 million people taking them.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2019-12-15 10:49:32.075;2019-12-15 10:49:36.570;0;;
30;5358;124;4;They work on an enzyme that is used by our body to make cholesterol.;cholesterol_and_statins;NONCRED;statin, side, muscle, effect, commonly;2019-12-15 08:37:34.840;2019-12-15 08:37:47.083;0;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
31;5359;124;5;Yep, that’s right…our bodies make cholesterol, mostly in the liver, as well as getting it from our diet.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2020-01-18 12:21:37.486;2020-01-18 12:22:06.903;0;;
32;5360;124;6;That’s because cholesterol is vital for our survival and involved in the formation of bile acids, cells, hormones, and vitamin D. But sometimes our bodies make too much cholesterol and research shows that people with high cholesterol are at higher risk of having heart disease, a heart attack or a stroke.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2019-12-15 08:43:17.642;2019-12-15 08:43:42.067;0;;
33;5361;124;7;Which is where statins step in.;cholesterol_and_statins;NEU;statin, side, muscle, effect, commonly;2020-01-16 19:39:37.449;2020-01-16 19:39:44.193;0;;
34;5362;124;8;A review of 27 large trials showed that decreasing LDL-cholesterol (often referred to as “bad” cholesterol) levels by 1mmol/L (40mg/dL) reduced the risk of a major vascular event (such as a stroke or a heart attack) by 25% within two years.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2019-12-15 09:03:39.212;2019-12-15 09:03:45.116;0;;
35;5363;124;9;This benefit increased year on year for the first five years and was more significant in people who had already had at least one previous vascular event.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2019-12-15 11:26:45.161;2019-12-15 11:26:54.721;0;;
36;5364;124;10;But there are also experts who have challenged these findings.;cholesterol_and_statins;NEU;statin, side, muscle, effect, commonly;2019-12-15 08:48:42.785;2019-12-15 08:48:50.508;0;;
37;5365;124;11;Surveys have also shown that only 32% of people take statins exactly as prescribed by their doctor with many citing side effects as reasons for forgoing the pills on certain days or just not taking them at all.;cholesterol_and_statins;CRED;statin, side, muscle, effect, commonly;2020-01-14 20:45:53.304;2020-01-14 20:48:30.953;0;;
38;5366;124;12;But what are the serious side effects of statins?;cholesterol_and_statins;NONCRED;statin, side, muscle, effect, commonly;2019-12-15 09:11:30.944;2019-12-15 09:11:40.119;0;autor zdania wykazuje braki wiedzy merytorycznej lub nie jest obiektywny;
